Timestamp,market-price
1/3/2009,0
1/6/2009,0
1/9/2009,0
1/12/2009,0
1/15/2009,0
1/18/2009,0
1/21/2009,0
1/24/2009,0
1/27/2009,0
1/30/2009,0
2/2/2009,0
2/5/2009,0
2/8/2009,0
2/11/2009,0
2/14/2009,0
2/17/2009,0
2/20/2009,0
2/23/2009,0
2/26/2009,0
3/1/2009,0
3/4/2009,0
3/7/2009,0
3/10/2009,0
3/13/2009,0
3/16/2009,0
3/19/2009,0
3/22/2009,0
3/25/2009,0
3/28/2009,0
3/31/2009,0
4/3/2009,0
4/6/2009,0
4/9/2009,0
4/12/2009,0
4/15/2009,0
4/18/2009,0
4/21/2009,0
4/24/2009,0
4/27/2009,0
4/30/2009,0
5/3/2009,0
5/6/2009,0
5/9/2009,0
5/12/2009,0
5/15/2009,0
5/18/2009,0
5/21/2009,0
5/24/2009,0
5/27/2009,0
5/30/2009,0
6/2/2009,0
6/5/2009,0
6/8/2009,0
6/11/2009,0
6/14/2009,0
6/17/2009,0
6/20/2009,0
6/23/2009,0
6/26/2009,0
6/29/2009,0
7/2/2009,0
7/5/2009,0
7/8/2009,0
7/11/2009,0
7/14/2009,0
7/17/2009,0
7/20/2009,0
7/23/2009,0
7/26/2009,0
7/29/2009,0
8/1/2009,0
8/4/2009,0
8/7/2009,0
8/10/2009,0
8/13/2009,0
8/16/2009,0
8/19/2009,0
8/22/2009,0
8/25/2009,0
8/28/2009,0
8/31/2009,0
9/3/2009,0
9/6/2009,0
9/9/2009,0
9/12/2009,0
9/15/2009,0
9/18/2009,0
9/21/2009,0
9/24/2009,0
9/27/2009,0
9/30/2009,0
10/3/2009,0
10/6/2009,0
10/9/2009,0
10/12/2009,0
10/15/2009,0
10/18/2009,0
10/21/2009,0
10/24/2009,0
10/27/2009,0
10/30/2009,0
11/2/2009,0
11/5/2009,0
11/8/2009,0
11/11/2009,0
11/14/2009,0
11/17/2009,0
11/20/2009,0
11/23/2009,0
11/26/2009,0
11/29/2009,0
12/2/2009,0
12/5/2009,0
12/8/2009,0
12/11/2009,0
12/14/2009,0
12/17/2009,0
12/20/2009,0
12/23/2009,0
12/26/2009,0
12/29/2009,0
1/1/2010,0
1/4/2010,0
1/7/2010,0
1/10/2010,0
1/13/2010,0
1/16/2010,0
1/19/2010,0
1/22/2010,0
1/25/2010,0
1/28/2010,0
1/31/2010,0
2/3/2010,0
2/6/2010,0
2/9/2010,0
2/12/2010,0
2/15/2010,0
2/18/2010,0
2/21/2010,0
2/24/2010,0
2/27/2010,0
3/2/2010,0
3/5/2010,0
3/8/2010,0
3/11/2010,0
3/14/2010,0
3/17/2010,0
3/20/2010,0
3/23/2010,0
3/26/2010,0
3/29/2010,0
4/1/2010,0
4/4/2010,0
4/7/2010,0
4/10/2010,0
4/13/2010,0
4/16/2010,0
4/19/2010,0
4/22/2010,0
4/25/2010,0
4/28/2010,0
5/1/2010,0
5/4/2010,0
5/7/2010,0
5/10/2010,0
5/13/2010,0
5/16/2010,0
5/19/2010,0
5/22/2010,0
5/25/2010,0
5/28/2010,0
5/31/2010,0
6/3/2010,0
6/6/2010,0
6/9/2010,0
6/12/2010,0
6/15/2010,0
6/18/2010,0
6/21/2010,0
6/24/2010,0
6/27/2010,0
6/30/2010,0
7/3/2010,0
7/6/2010,0
7/9/2010,0
7/12/2010,0
7/15/2010,0
7/18/2010,0
7/21/2010,0
7/24/2010,0
7/27/2010,0
7/30/2010,0
8/2/2010,0
8/5/2010,0
8/8/2010,0
8/11/2010,0
8/14/2010,0
8/17/2010,0
8/20/2010,0.07
8/23/2010,0.07
8/26/2010,0.07
8/29/2010,0.06
9/1/2010,0.06
9/4/2010,0.06
9/7/2010,0.06
9/10/2010,0.06
9/13/2010,0.06
9/16/2010,0.15
9/19/2010,0.06
9/22/2010,0.06
9/25/2010,0.06
9/28/2010,0.06
10/1/2010,0.06
10/4/2010,0.06
10/7/2010,0.06
10/10/2010,0.12
10/13/2010,0.1
10/16/2010,0.12
10/19/2010,0.1
10/22/2010,0.11
10/25/2010,0.18
10/28/2010,0.19
10/31/2010,0.19
11/3/2010,0.21
11/6/2010,0.25
11/9/2010,0.36
11/12/2010,0.24
11/15/2010,0.3
11/18/2010,0.28
11/21/2010,0.29
11/24/2010,0.29
11/27/2010,0.29
11/30/2010,0.28
12/3/2010,0.25
12/6/2010,0.23
12/9/2010,0.25
12/12/2010,0.23
12/15/2010,0.23
12/18/2010,0.25
12/21/2010,0.27
12/24/2010,0.25
12/27/2010,0.27
12/30/2010,0.3
1/2/2011,0.3
1/5/2011,0.3
1/8/2011,0.32
1/11/2011,0.33
1/14/2011,0.42
1/17/2011,0.4
1/20/2011,0.35
1/23/2011,0.43
1/26/2011,0.43
1/29/2011,0.45
2/1/2011,0.61
2/4/2011,0.78
2/7/2011,0.92
2/10/2011,0.97
2/13/2011,1.09
2/16/2011,1.08
2/19/2011,1.04
2/22/2011,0.88
2/25/2011,0.96
2/28/2011,0.96
3/3/2011,0.95
3/6/2011,0.92
3/9/2011,0.9
3/12/2011,0.93
3/15/2011,0.9
3/18/2011,0.87
3/21/2011,0.79
3/24/2011,0.86
3/27/2011,0.9
3/30/2011,0.8
4/2/2011,0.8
4/5/2011,0.77
4/8/2011,0.78
4/11/2011,0.76
4/14/2011,0.99
4/17/2011,1.09
4/20/2011,1.19
4/23/2011,1.38
4/26/2011,1.71
4/29/2011,2.66
5/2/2011,3.95
5/5/2011,3.56
5/8/2011,3.75
5/11/2011,5.41
5/14/2011,8.56
5/17/2011,8.47
5/20/2011,7.28
5/23/2011,6.81
5/26/2011,7.95
5/29/2011,8.68
6/1/2011,9.47
6/4/2011,15.05
6/7/2011,19.19
6/10/2011,32.34
6/13/2011,24.87
6/16/2011,19.99
6/19/2011,17.6
6/22/2011,15.39
6/25/2011,16.95
6/28/2011,17.89
7/1/2011,17.38
7/4/2011,15.74
7/7/2011,16.44
7/10/2011,15.16
7/13/2011,14.52
7/16/2011,14.25
7/19/2011,13.93
7/22/2011,13.94
7/25/2011,14.16
7/28/2011,14.1
7/31/2011,14.06
8/3/2011,13.37
8/6/2011,11.42
8/9/2011,9.66
8/12/2011,10.35
8/15/2011,11.4
8/18/2011,11.39
8/21/2011,11.75
8/24/2011,11.47
8/27/2011,10.01
8/30/2011,9.4
9/2/2011,8.46
9/5/2011,8.56
